Product Details,,,,
ProductID,Product,Category,ManufacturerID,Price
1,Abbas MA-01|All Season,Mix,1,USD 412.13
286,Fama UE-07|Extreme,,5,USD 329.78
287,Fama UE-08|Extreme,,5,USD 329.78
288,Fama UE-09|Extreme,,5,USD 865.99
289,Fama UE-10|Extreme,,5,USD 892.2375
290,Fama UE-11|Extreme,,5,USD 1128.49
291,Fama UE-12|Extreme,,5,USD 823.99
292,Fama UE-13|Extreme,,5,USD 697.99
293,Fama UE-14|Extreme,,5,USD 708.49
294,Fama UE-15|Extreme,,5,USD 787.24
295,Fama UE-16|Extreme,,5,USD 1049.74
296,Fama UE-17|Extreme,,5,USD 2309.74
297,Fama UE-18|Extreme,,5,USD 708.49
298,Fama UE-19|Extreme,,5,USD 813.75
299,Fama UE-20|Extreme,,5,USD 734.74
300,Fama UE-21|Extreme,,5,USD 776.74
301,Fama UE-22|Extreme,,5,USD 329.78
302,Fama UE-23|Extreme,,5,USD 329.78
303,Fama UE-24|Extreme,,5,USD 480.375
304,Fama UE-25|Extreme,,5,USD 944.74
305,Fama UE-26|Extreme,,5,USD 1680
306,Fama UE-27|Extreme,,5,USD 1259.74
307,Fama UE-28|Extreme,,5,USD 1154.74
308,Fama UE-29|Extreme,,5,USD 1285.99
309,Fama UE-30|Extreme,,5,USD 3412.5
310,Fama UE-31|Extreme,,5,USD 944.7375
311,Fama UE-32|Extreme,,5,USD 655.99
312,Fama UE-33|Extreme,,5,USD 776.74
313,Fama UE-34|Extreme,,5,USD 760.99
314,Fama UE-35|Extreme,,5,USD 435.49
315,Fama UE-36|Extreme,,5,USD 550.99
316,Fama UE-37|Extreme,,5,USD 483
317,Fama UE-38|Extreme,,5,USD 945
318,Fama UE-39|Extreme,,5,USD 881.74
319,Fama UE-40|Extreme,,5,USD 1102.24
320,Fama UE-41|Extreme,,5,USD 1364.74
321,Fama UE-42|Extreme,,5,USD 944.74
322,Fama UE-43|Extreme,,5,USD 734.74
323,Fama UE-44|Extreme,,5,USD 787.5
324,Fama UE-45|Extreme,,5,USD 1180.99
325,Fama UE-46|Extreme,,5,USD 598.24
326,Fama UE-47|Extreme,,5,USD 708.49
327,Fama UE-48|Extreme,,5,USD 1207.24
328,Fama UE-49|Extreme,,5,USD 329.78
329,Fama UE-50|Extreme,,5,USD 329.78
330,Fama UE-51|Extreme,,5,USD 577.24
331,Fama UE-52|Extreme,,5,USD 928.99
332,Fama UE-53|Extreme,,5,USD 997.24
333,Fama UE-54|Extreme,,5,USD 839.74
334,Fama UE-55|Extreme,,5,USD 2099.74
335,Fama UE-56|Extreme,,5,USD 865.99
336,Fama UE-57|Extreme,,5,USD 944.74
1908,Currus MA-01|All Season,Mix,4,USD 448.8225
337,Fama UE-58|Extreme,,5,USD 1574.74
1909,Currus MA-02|All Season,,4,USD 220.45
338,Fama UE-59|Extreme,,5,USD 1469.74
1911,Currus MA-04|All Season,,4,USD 244.075
339,Fama UE-60|Extreme,,5,USD 776.74
1912,Currus MA-05|All Season,,4,USD 377.425
340,Fama UE-61|Extreme,,5,USD 329.78
1914,Currus MA-07|All Season,,4,USD 173.2
341,Fama UE-62|Extreme,,5,USD 417.6375
1915,Currus MA-08|All Season,,4,USD 666.7
342,Fama UE-63|Extreme,,5,USD 734.74
1916,Currus MA-09|All Season,,4,USD 346.45
343,Fama UE-64|Extreme,,5,USD 865.99
1918,Currus MA-11|All Season,,4,USD 734.95
344,Fama UE-65|Extreme,,5,USD 329.78
1920,Currus MA-13|All Season,,4,USD 341.2
345,Fama UE-66|Extreme,,5,USD 928.9875
1924,Currus MA-17|All Season,,4,USD 367.45
346,Fama UE-67|Extreme,,5,USD 1049.74
1926,Currus RP-01|Productivity,Rural,4,USD 99.7
347,Fama UE-68|Extreme,,5,USD 3412.5
1927,Currus RP-02|Productivity,,4,USD 99.7
348,Fama UE-69|Extreme,,5,USD 629.74
1930,Currus RP-05|Productivity,,4,USD 286.0725
349,Fama UE-70|Extreme,,5,USD 524.74
1931,Currus RP-06|Productivity,,4,USD 286.0725
350,Fama UE-71|Extreme,,5,USD 598.24
1932,Currus RP-07|Productivity,,4,USD 440.95
351,Fama UE-72|Extreme,,5,USD 1170.49
1933,Currus RP-08|Productivity,,4,USD 440.95
352,Fama UE-73|Extreme,,5,USD 1049.74
1934,Currus RP-09|Productivity,,4,USD 167.95
353,Fama UE-74|Extreme,,5,USD 1732.24
1935,Currus RP-10|Productivity,,4,USD 167.95
354,Fama UE-75|Extreme,,5,USD 1170.49
1936,Currus RP-11|Productivity,,4,USD 288.7
355,Fama UE-76|Extreme,,5,USD 466.99
1937,Currus RP-12|Productivity,,4,USD 288.7
356,Fama UE-77|Extreme,,5,USD 482.74
1938,Currus RP-13|Productivity,,4,USD 293.95
357,Fama UE-78|Extreme,,5,USD 540.49
1939,Currus RP-14|Productivity,,4,USD 293.95
358,Fama UE-79|Extreme,,5,USD 2099.7375
1940,Currus RP-15|Productivity,,4,USD 217.8225
359,Fama UE-80|Extreme,,5,USD 1144.24
1941,Currus RP-16|Productivity,,4,USD 217.8225
360,Fama UE-81|Extreme,,5,USD 787.2375
1942,Currus RP-17|Productivity,,4,USD 162.6975
361,Fama UE-82|Extreme,,5,USD 419.74
1943,Currus RP-18|Productivity,,4,USD 162.6975
362,Fama UE-83|Extreme,,5,USD 734.74
1946,Currus RP-21|Productivity,,4,USD 280.825
363,Fama UE-84|Extreme,,5,USD 329.78
1947,Currus RP-22|Productivity,,4,USD 280.825
364,Fama UE-85|Extreme,,5,USD 1191.49
1948,Currus RP-23|Productivity,,4,USD 320.2
365,Fama UE-86|Extreme,,5,USD 629.74
1949,Currus RP-24|Productivity,,4,USD 320.2
366,Fama UE-87|Extreme,,5,USD 760.99
1950,Currus RP-25|Productivity,,4,USD 335.95
367,Fama UE-88|Extreme,,5,USD 771.4875
1951,Currus RP-26|Productivity,,4,USD 335.95
368,Fama UE-89|Extreme,,5,USD 771.49
1956,Currus RP-31|Productivity,,4,USD 153.775
369,Fama UE-90|Extreme,,5,USD 892.24
1957,Currus RP-32|Productivity,,4,USD 153.775
370,Fama UE-91|Extreme,,5,USD 540.49
1958,Currus RP-33|Productivity,,4,USD 78.7
371,Fama UE-92|Extreme,,5,USD 787.24
1959,Currus RP-34|Productivity,,4,USD 78.7
372,Fama UE-93|Extreme,,5,USD 997.24
1960,Currus RP-35|Productivity,,4,USD 98.65
373,Fama UE-94|Extreme,,5,USD 377.74
1961,Currus RP-36|Productivity,,4,USD 98.65
374,Fama UE-95|Extreme,,5,USD 929.15
1962,Currus RP-37|Productivity,,4,USD 149.575
375,Fama UE-96|Extreme,,5,USD 787.24
1963,Currus RP-38|Productivity,,4,USD 149.575
376,Fama UE-97|Extreme,,5,USD 329.78
1964,Currus RP-39|Productivity,,4,USD 89.2
377,Fama UE-98|Extreme,,5,USD 708.75
1965,Currus RP-40|Productivity,,4,USD 89.2
378,Fama UE-99|Extreme,,5,USD 787.24
1966,Currus RP-41|Productivity,,4,USD 246.7
379,Fama UE-00|Extreme,,5,USD 524.74
1967,Currus RP-42|Productivity,,4,USD 246.7
380,Fama UE-01|Extreme,,5,USD 329.78
1968,Currus RP-43|Productivity,,4,USD 238.825
381,Fama UE-02|Extreme,,5,USD 1264.99
1969,Currus RP-44|Productivity,,4,USD 238.825
382,Fama UE-03|Extreme,,5,USD 928.99
1974,Currus RP-49|Productivity,,4,USD 57.7
383,Fama UE-04|Extreme,,5,USD 629.74
1975,Currus RP-50|Productivity,,4,USD 57.7
384,Fama UE-05|Extreme,,5,USD 1049.74
1978,Currus RP-53|Productivity,,4,USD 267.7
385,Fama UE-06|Extreme,,5,USD 734.74
1979,Currus RP-54|Productivity,,4,USD 267.7
386,Fama UE-07|Extreme,,5,USD 495.8625
1980,Currus RP-55|Productivity,,4,USD 220.45
387,Fama UC-01|Convenience,Urban,5,USD 997.24
1981,Currus RP-56|Productivity,,4,USD 220.45
388,Fama UC-02|Convenience,,5,USD 1102.24
1982,Currus RS-01|Select,Rural,4,USD 398.95
389,Fama UC-03|Convenience,,5,USD 997.24
1983,Currus RS-02|Select,,4,USD 367.45
390,Fama UC-04|Convenience,,5,USD 1390.99
1984,Currus RS-03|Select,,4,USD 183.7
391,Fama UC-05|Convenience,,5,USD 1023.49
1985,Currus RS-04|Select,,4,USD 160.075
392,Maximus RP-01|Productivity,Rural,7,USD 510.565
1986,Currus RS-05|Select,,4,USD 167.95
393,Maximus RP-02|Productivity,,7,USD 510.565
1987,Currus RS-06|Select,,4,USD 209.95
394,Maximus RS-01|Select,Rural,7,USD 1640.575
1989,Currus RS-08|Select,,4,USD 456.7
395,Maximus RS-02|Select,,7,USD 382.99
1990,Currus RS-09|Select,,4,USD 267.7
396,Maximus UM-01|Moderation,Urban,7,USD 950.5125
1991,Currus RS-10|Select,,4,USD 320.2
397,Maximus UM-02|Moderation,,7,USD 1506.6975
1993,Currus RS-12|Select,,4,USD 120.7
398,Maximus UM-03|Moderation,,7,USD 1585.4475
399,Maximus UM-04|Moderation,,7,USD 329.78
400,Maximus UM-05|Moderation,,7,USD 902.9475
401,Maximus UM-06|Moderation,,7,USD 948.68
402,Maximus UM-07|Moderation,,7,USD 1044.6975
403,Maximus UM-08|Moderation,,7,USD 1164.8175
404,Maximus UM-09|Moderation,,7,USD 1874.1975
405,Maximus UM-10|Moderation,,7,USD 1926.6975
406,Maximus UM-11|Moderation,,7,USD 1926.6975
407,Maximus UM-12|Moderation,,7,USD 1719.3225
408,Maximus UM-13|Moderation,,7,USD 1375.45
409,Maximus UM-14|Moderation,,7,USD 971.78
410,Maximus UM-15|Moderation,,7,USD 1474.9875
411,Maximus UM-16|Moderation,,7,USD 329.78
412,Maximus UM-17|Moderation,,7,USD 1637.9475
413,Maximus UM-18|Moderation,,7,USD 1264.9875
414,Maximus UM-19|Moderation,,7,USD 735
415,Maximus UM-20|Moderation,,7,USD 983.01
416,Maximus UM-21|Moderation,,7,USD 955.4475
417,Maximus UM-22|Moderation,,7,USD 949.5675
418,Maximus UM-23|Moderation,,7,USD 932.4
419,Maximus UM-24|Moderation,,7,USD 1574.2125
420,Maximus UM-25|Moderation,,7,USD 1232.18
421,Maximus UM-26|Moderation,,7,USD 1769.2
422,Maximus UM-27|Moderation,,7,USD 918.49
423,Maximus UM-28|Moderation,,7,USD 1052.8875
424,Maximus UM-29|Moderation,,7,USD 1716.6975
425,Maximus UM-30|Moderation,,7,USD 1022.175
2041,Currus UE-01|Extreme,Urban,4,USD 997.45
426,Maximus UM-31|Moderation,,7,USD 986.9475
2042,Currus UE-02|Extreme,,4,USD 624.6975
427,Maximus UM-32|Moderation,,7,USD 1025.0625
2043,Currus UE-03|Extreme,,4,USD 797.95
428,Maximus UM-33|Moderation,,7,USD 1207.4475
2044,Currus UE-04|Extreme,,4,USD 393.7
429,Maximus UM-34|Moderation,,7,USD 1900.4475
2045,Currus UE-05|Extreme,,4,USD 614.2
430,Maximus UM-35|Moderation,,7,USD 944.1075
2046,Currus UE-06|Extreme,,4,USD 433.075
431,Maximus UM-36|Moderation,,7,USD 1055.2
2047,Currus UE-07|Extreme,,4,USD 388.45
432,Maximus UM-37|Moderation,,7,USD 935.55
2048,Currus UE-08|Extreme,,4,USD 477.7
433,Maximus UM-38|Moderation,,7,USD 1007.95
2049,Currus UE-09|Extreme,,4,USD 456.7
434,Maximus UM-39|Moderation,,7,USD 329.78
2050,Currus UE-10|Extreme,,4,USD 503.95
435,Maximus UM-40|Moderation,,7,USD 1684.9875
2051,Currus UE-11|Extreme,,4,USD 750.7
436,Maximus UM-41|Moderation,,7,USD 1873.725
2052,Currus UE-12|Extreme,,4,USD 766.45
437,Maximus UM-42|Moderation,,7,USD 809.025
2053,Currus UE-13|Extreme,,4,USD 388.45
438,Maximus UM-43|Moderation,,7,USD 1007.95
2054,Currus UE-14|Extreme,,4,USD 729.7
439,Maximus UM-44|Moderation,,7,USD 1091.3175
2055,Currus UE-15|Extreme,,4,USD 734.95
440,Maximus UM-45|Moderation,,7,USD 1637.9475
2056,Currus UE-16|Extreme,,4,USD 335.95
441,Maximus UM-46|Moderation,,7,USD 671.7375
2057,Currus UE-17|Extreme,,4,USD 477.7
442,Maximus UM-47|Moderation,,7,USD 882
2058,Currus UE-18|Extreme,,4,USD 288.7
443,Maximus UM-48|Moderation,,7,USD 940.8
2060,Currus UE-20|Extreme,,4,USD 383.2
444,Maximus UM-49|Moderation,,7,USD 1112.9475
2061,Currus UE-21|Extreme,,4,USD 367.45
445,Maximus UM-50|Moderation,,7,USD 953.82
2062,Currus UE-22|Extreme,,4,USD 551.2
446,Maximus UM-51|Moderation,,7,USD 329.78
2064,Currus UE-24|Extreme,,4,USD 656.2
447,Maximus UM-52|Moderation,,7,USD 1584.7125
448,Maximus UM-53|Moderation,,7,USD 491.19
1994,Currus UM-01|Moderation,Urban,4,USD 734.95
449,Maximus UM-54|Moderation,,7,USD 1112.69
1995,Currus UM-02|Moderation,,4,USD 503.95
450,Maximus UM-55|Moderation,,7,USD 1727.2
1997,Currus UM-04|Moderation,,4,USD 803.2
451,Maximus UM-56|Moderation,,7,USD 973.8225
1999,Currus UR-02|Regular,,4,USD 677.2
452,Maximus UM-57|Moderation,,7,USD 1102.4475
2004,Currus UR-07|Regular,,4,USD 482.95
