"Poverty estimates for the U.S., States, and counties, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Commerce, Bureau of the Census, Small Area Income and Poverty Estimates (SAIPE) Program. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy & Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields. Variable descriptions (column names) are found in the second tab in this workbook.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table was prepared by USDA, Economic Research Service. Data as of June 3, 2022. Contact: Kathleen Kassel, katheen.kassel@usda.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS_code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2020,CI90LBALL_2020,CI90UBALL_2020,PCTPOVALL_2020,CI90LBALLP_2020,CI90UBALLP_2020,POV017_2020,CI90LB017_2020,CI90UB017_2020,PCTPOV017_2020,CI90LB017P_2020,CI90UB017P_2020,POV517_2020,CI90LB517_2020,CI90UB517_2020,PCTPOV517_2020,CI90LB517P_2020,CI90UB517P_2020,MEDHHINC_2020,CI90LBINC_2020,CI90UBINC_2020,POV04_2020,CI90LB04_2020,CI90UB04_2020,PCTPOV04_2020,CI90LB04P_2020,CI90UB04P_2020,,,,,,,,,,,,,
01017,AL,Chambers County,6,5,6,5,"5,266","3,925","6,607",16.3,12.2,20.4,"1,731","1,177","2,285",26.2,17.8,34.6,"1,266",848,"1,684",26.1,17.5,34.7,"39,318","37,495","41,141",,,,,,,,,,,,,,,,,,,
01019,AL,Cherokee County,8,6,6,6,"3,827","2,854","4,800",14.7,11.0,18.4,"1,115",753,"1,477",23.3,15.7,30.9,795,521,"1,069",22.2,14.6,29.8,"50,388","43,387","57,389",,,,,,,,,,,,,,,,,,,
01021,AL,Chilton County,1,1,1,1,"6,094","4,590","7,598",13.9,10.5,17.3,"2,177","1,478","2,876",21.0,14.3,27.7,"1,504",987,"2,021",19.7,12.9,26.5,"52,693","45,063","60,323",,,,,,,,,,,,,,,,,,,
01023,AL,Choctaw County,9,10,9,10,"2,506","1,874","3,138",20.4,15.2,25.6,699,472,926,28.9,19.5,38.3,493,327,659,27.9,18.5,37.3,"41,649","35,328","47,970",,,,,,,,,,,,,,,,,,,
01025,AL,Clarke County,7,11,7,11,"4,471","3,430","5,512",19.5,15.0,24.0,"1,404",989,"1,819",28.7,20.2,37.2,"1,025",694,"1,356",28.3,19.2,37.4,"44,178","37,403","50,953",,,,,,,,,,,,,,,,,,,
01027,AL,Clay County,9,10,9,10,"1,818","1,327","2,309",14.2,10.4,18.0,623,418,828,23.8,16.0,31.6,449,294,604,23.6,15.5,31.7,"44,763","38,531","50,995",,,,,,,,,,,,,,,,,,,
01029,AL,Cleburne County,8,4,8,4,"2,099","1,608","2,590",14.2,10.9,17.5,654,440,868,19.5,13.1,25.9,460,301,619,19.0,12.4,25.6,"50,134","42,392","57,876",,,,,,,,,,,,,,,,,,,
01031,AL,Coffee County,6,5,4,5,"7,303","5,911","8,695",13.9,11.2,16.6,"2,523","1,867","3,179",20.6,15.3,25.9,"1,755","1,271","2,239",19.3,14.0,24.6,"54,203","47,980","60,426",,,,,,,,,,,,,,,,,,,
01033,AL,Colbert County,3,2,3,2,"7,864","6,207","9,521",14.4,11.4,17.4,"2,381","1,653","3,109",20.9,14.5,27.3,"1,670","1,136","2,204",20.3,13.8,26.8,"54,185","49,363","59,007",,,,,,,,,,,,,,,,,,,
01035,AL,Conecuh County,9,11,7,11,"2,701","2,022","3,380",22.9,17.1,28.7,833,564,"1,102",35.1,23.8,46.4,590,386,794,33.2,21.8,44.6,"34,664","29,757","39,571",,,,,,,,,,,,,,,,,,,
01037,AL,Coosa County,8,7,8,3,"1,808","1,337","2,279",17.4,12.9,21.9,490,332,648,28.8,19.5,38.1,329,210,448,26.5,16.9,36.1,"46,509","40,042","52,976",,,,,,,,,,,,,,,,,,,
01039,AL,Covington County,7,9,6,6,"6,219","4,851","7,587",17.1,13.3,20.9,"1,795","1,239","2,351",22.6,15.6,29.6,"1,261",835,"1,687",21.6,14.3,28.9,"43,544","38,199","48,889",,,,,,,,,,,,,,,,,,,
01041,AL,Crenshaw County,8,6,8,6,"2,262","1,694","2,830",16.8,12.6,21.0,777,523,"1,031",25.6,17.2,34.0,553,363,743,24.3,16.0,32.6,"45,927","40,682","51,172",,,,,,,,,,,,,,,,,,,
01043,AL,Cullman County,6,3,4,3,"10,381","8,129","12,633",12.5,9.8,15.2,"3,196","2,252","4,140",17.4,12.3,22.5,"2,265","1,550","2,980",17.0,11.6,22.4,"51,844","46,533","57,155",,,,,,,,,,,,,,,,,,,
01045,AL,Dale County,4,5,4,5,"7,440","5,935","8,945",15.5,12.4,18.6,"2,872","2,221","3,523",26.1,20.2,32.0,"1,960","1,427","2,493",25.2,18.3,32.1,"48,493","42,963","54,023",,,,,,,,,,,,,,,,,,,
01047,AL,Dallas County,4,5,4,5,"9,471","7,369","11,573",26.7,20.8,32.6,"3,476","2,502","4,450",42.3,30.5,54.1,"2,366","1,615","3,117",38.6,26.3,50.9,"37,679","32,681","42,677",,,,,,,,,,,,,,,,,,,
01049,AL,DeKalb County,6,6,6,6,"10,778","8,430","13,126",15.2,11.9,18.5,"3,407","2,395","4,419",20.2,14.2,26.2,"2,417","1,676","3,158",19.2,13.3,25.1,"47,156","44,737","49,575",,,,,,,,,,,,,,,,,,,
01051,AL,Elmore County,2,2,2,2,"8,972","6,962","10,982",11.5,8.9,14.1,"2,956","2,119","3,793",16.6,11.9,21.3,"2,123","1,501","2,745",16.1,11.4,20.8,"62,524","57,926","67,122",,,,,,,,,,,,,,,,,,,
01053,AL,Escambia County,6,6,6,6,"6,892","5,438","8,346",20.4,16.1,24.7,"2,074","1,481","2,667",26.1,18.6,33.6,"1,471","1,022","1,920",25.6,17.8,33.4,"41,212","35,622","46,802",,,,,,,,,,,,,,,,,,,
01055,AL,Etowah County,3,2,3,2,"15,650","12,586","18,714",15.6,12.5,18.7,"4,889","3,378","6,400",22.9,15.8,30.0,"3,535","2,429","4,641",22.9,15.7,30.1,"47,872","43,311","52,433",,,,,,,,,,,,,,,,,,,
01057,AL,Fayette County,6,6,6,6,"2,640","2,003","3,277",16.5,12.5,20.5,801,551,"1,051",23.7,16.3,31.1,560,370,750,22.6,14.9,30.3,"45,937","40,131","51,743",,,,,,,,,,,,,,,,,,,
01059,AL,Franklin County,6,6,6,6,"5,357","4,145","6,569",17.2,13.3,21.1,"1,748","1,225","2,271",22.9,16.0,29.8,"1,186",797,"1,575",21.7,14.6,28.8,"40,448","35,402","45,494",,,,,,,,,,,,,,,,,,,
01061,AL,Geneva County,3,2,3,2,"5,492","4,409","6,575",21.0,16.9,25.1,"1,800","1,339","2,261",32.0,23.8,40.2,"1,304",962,"1,646",31.1,22.9,39.3,"39,882","35,957","43,807",,,,,,,,,,,,,,,,,,,
01063,AL,Greene County,3,2,8,6,"2,210","1,650","2,770",27.9,20.8,35.0,737,503,971,43.5,29.7,57.3,521,348,694,41.1,27.5,54.7,"33,609","28,584","38,634",,,,,,,,,,,,,,,,,,,
01065,AL,Hale County,3,2,3,2,"3,166","2,427","3,905",21.9,16.8,27.0,"1,010",682,"1,338",30.0,20.3,39.7,694,458,930,28.5,18.8,38.2,"41,836","35,250","48,422",,,,,,,,,,,,,,,,,,,
01067,AL,Henry County,3,2,3,2,"2,743","2,126","3,360",16.2,12.6,19.8,809,556,"1,062",23.5,16.2,30.8,584,382,786,22.5,14.7,30.3,"51,126","43,840","58,412",,,,,,,,,,,,,,,,,,,
01069,AL,Houston County,3,2,3,2,"15,534","12,906","18,162",14.8,12.3,17.3,"5,566","4,304","6,828",23.4,18.1,28.7,"3,621","2,651","4,591",21.2,15.5,26.9,"54,391","50,074","58,708",,,,,,,,,,,,,,,,,,,
01071,AL,Jackson County,6,5,6,5,"7,777","6,294","9,260",15.3,12.4,18.2,"2,430","1,843","3,017",23.4,17.7,29.1,"1,531","1,075","1,987",20.2,14.2,26.2,"46,606","41,594","51,618",,,,,,,,,,,,,,,,,,,
01073,AL,Jefferson County,1,1,1,1,"92,310","81,008","103,612",14.4,12.6,16.2,"29,432","24,386","34,478",20.1,16.6,23.6,"21,197","17,441","24,953",20.2,16.6,23.8,"57,802","55,683","59,921",,,,,,,,,,,,,,,,,,,
01075,AL,Lamar County,9,10,8,7,"2,348","1,837","2,859",17.4,13.6,21.2,621,420,822,21.3,14.4,28.2,432,284,580,20.6,13.6,27.6,"40,204","34,497","45,911",,,,,,,,,,,,,,,,,,,
01077,AL,Lauderdale County,3,2,3,2,"12,630","9,992","15,268",13.9,11.0,16.8,"3,561","2,569","4,553",19.9,14.4,25.4,"2,290","1,557","3,023",17.5,11.9,23.1,"52,293","47,008","57,578",,,,,,,,,,,,,,,,,,,
01079,AL,Lawrence County,3,2,3,2,"5,005","3,777","6,233",15.4,11.6,19.2,"1,525","1,047","2,003",21.9,15.0,28.8,"1,081",724,"1,438",20.8,13.9,27.7,"48,924","42,121","55,727",,,,,,,,,,,,,,,,,,,
01081,AL,Lee County,3,2,3,2,"28,901","25,260","32,542",17.9,15.6,20.2,"5,772","4,379","7,165",16.8,12.7,20.9,"3,716","2,691","4,741",14.9,10.8,19.0,"58,963","51,807","66,119",,,,,,,,,,,,,,,,,,,
01083,AL,Limestone County,2,2,2,2,"10,285","8,069","12,501",10.4,8.2,12.6,"3,166","2,263","4,069",14.3,10.2,18.4,"2,145","1,479","2,811",12.9,8.9,16.9,"70,850","65,531","76,169",,,,,,,,,,,,,,,,,,,
01085,AL,Lowndes County,2,2,2,2,"2,083","1,550","2,616",21.9,16.3,27.5,796,552,"1,040",38.1,26.4,49.8,578,391,765,38.5,26.1,50.9,"37,499","32,316","42,682",,,,,,,,,,,,,,,,,,,
01087,AL,Macon County,6,5,6,6,"4,543","3,387","5,699",27.9,20.8,35.0,"1,187",793,"1,581",39.3,26.2,52.4,860,563,"1,157",40.1,26.2,54.0,"37,736","32,580","42,892",,,,,,,,,,,,,,,,,,,
01089,AL,Madison County,2,2,2,2,"39,100","33,403","44,797",10.5,9.0,12.0,"10,909","8,148","13,670",13.5,10.1,16.9,"7,587","5,503","9,671",12.9,9.3,16.5,"67,810","63,344","72,276",,,,,,,,,,,,,,,,,,,
01091,AL,Marengo County,7,11,7,11,"3,370","2,468","4,272",18.3,13.4,23.2,"1,236",820,"1,652",30.2,20.0,40.4,878,566,"1,190",29.2,18.8,39.6,"43,198","37,785","48,611",,,,,,,,,,,,,,,,,,,
01093,AL,Marion County,8,4,7,11,"4,843","3,692","5,994",16.8,12.8,20.8,"1,423","1,000","1,846",23.6,16.6,30.6,954,637,"1,271",21.5,14.4,28.6,"44,333","38,386","50,280",,,,,,,,,,,,,,,,,,,
01095,AL,Marshall County,4,5,4,5,"14,754","12,075","17,433",15.4,12.6,18.2,"5,860","4,629","7,091",24.6,19.4,29.8,"3,623","2,710","4,536",21.3,15.9,26.7,"51,417","46,158","56,676",,,,,,,,,,,,,,,,,,,
01097,AL,Mobile County,2,2,2,2,"71,398","61,652","81,144",17.6,15.2,20.0,"25,682","20,934","30,430",27.3,22.3,32.3,"16,756","13,006","20,506",24.9,19.3,30.5,"50,871","48,779","52,963",,,,,,,,,,,,,,,,,,,
01099,AL,Monroe County,7,11,7,11,"4,552","3,603","5,501",22.5,17.8,27.2,"1,247",837,"1,657",29.9,20.1,39.7,892,588,"1,196",28.3,18.7,37.9,"38,812","33,086","44,538",,,,,,,,,,,,,,,,,,,
01101,AL,Montgomery County,2,2,2,2,"44,058","38,738","49,378",20.4,17.9,22.9,"14,673","12,117","17,229",28.4,23.5,33.3,"9,384","7,357","11,411",25.7,20.2,31.2,"49,607","46,454","52,760",,,,,,,,,,,,,,,,,,,
01103,AL,Morgan County,3,2,3,2,"16,995","14,183","19,807",14.4,12.0,16.8,"5,414","4,134","6,694",20.1,15.3,24.9,"3,273","2,261","4,285",16.6,11.5,21.7,"55,688","50,240","61,136",,,,,,,,,,,,,,,,,,,
01105,AL,Perry County,8,6,8,4,"2,443","1,829","3,057",30.7,23.0,38.4,768,518,"1,018",44.2,29.8,58.6,562,371,753,43.8,28.9,58.7,"33,712","28,959","38,465",,,,,,,,,,,,,,,,,,,
01107,AL,Pickens County,8,6,3,2,"4,050","3,101","4,999",22.7,17.4,28.0,"1,154",822,"1,486",31.2,22.2,40.2,843,599,"1,087",31.5,22.4,40.6,"41,870","35,716","48,024",,,,,,,,,,,,,,,,,,,
01109,AL,Pike County,6,5,6,5,"6,101","4,548","7,654",19.7,14.7,24.7,"1,748","1,187","2,309",28.3,19.2,37.4,"1,198",791,"1,605",27.3,18.0,36.6,"43,141","36,314","49,968",,,,,,,,,,,,,,,,,,,
01111,AL,Randolph County,6,4,6,4,"3,933","3,066","4,800",17.5,13.6,21.4,"1,285",873,"1,697",27.3,18.6,36.0,908,600,"1,216",26.2,17.3,35.1,"46,679","40,659","52,699",,,,,,,,,,,,,,,,,,,
01113,AL,Russell County,2,2,2,2,"11,702","9,460","13,944",20.3,16.4,24.2,"4,352","3,257","5,447",31.7,23.7,39.7,"2,754","1,923","3,585",28.3,19.8,36.8,"40,821","37,871","43,771",,,,,,,,,,,,,,,,,,,
01115,AL,St. Clair County,1,1,1,1,"9,384","7,154","11,614",10.5,8.0,13.0,"2,902","2,038","3,766",14.6,10.3,18.9,"1,958","1,301","2,615",13.3,8.8,17.8,"61,973","55,383","68,563",,,,,,,,,,,,,,,,,,,
01117,AL,Shelby County,1,1,1,1,"15,227","12,326","18,128",7.0,5.7,8.3,"4,078","2,907","5,249",8.2,5.9,10.5,"3,068","2,210","3,926",8.1,5.8,10.4,"88,444","81,587","95,301",,,,,,,,,,,,,,,,,,,
01119,AL,Sumter County,8,6,8,6,"3,338","2,523","4,153",29.2,22.1,36.3,975,688,"1,262",42.0,29.6,54.4,679,470,888,41.6,28.8,54.4,"32,275","27,379","37,171",,,,,,,,,,,,,,,,,,,
01121,AL,Talladega County,4,5,4,3,"12,958","10,639","15,277",16.9,13.9,19.9,"3,811","2,791","4,831",23.9,17.5,30.3,"2,603","1,824","3,382",22.4,15.7,29.1,"44,802","39,131","50,473",,,,,,,,,,,,,,,,,,,
01123,AL,Tallapoosa County,6,6,6,6,"6,004","4,593","7,415",15.2,11.6,18.8,"2,114","1,506","2,722",26.3,18.7,33.9,"1,499","1,030","1,968",25.2,17.3,33.1,"46,654","42,363","50,945",,,,,,,,,,,,,,,,,,,
01125,AL,Tuscaloosa County,3,2,3,2,"28,776","23,778","33,774",14.4,11.9,16.9,"7,490","5,679","9,301",17.4,13.2,21.6,"5,456","4,049","6,863",17.7,13.1,22.3,"56,610","53,008","60,212",,,,,,,,,,,,,,,,,,,
01127,AL,Walker County,1,1,1,1,"10,219","8,273","12,165",16.4,13.3,19.5,"3,151","2,326","3,976",23.0,17.0,29.0,"2,102","1,489","2,715",21.4,15.2,27.6,"46,519","40,910","52,128",,,,,,,,,,,,,,,,,,,
01129,AL,Washington County,8,7,8,7,"2,769","2,105","3,433",17.5,13.3,21.7,765,509,"1,021",22.9,15.2,30.6,548,356,740,22.6,14.7,30.5,"36,346","30,086","42,606",,,,,,,,,,,,,,,,,,,
01131,AL,Wilcox County,8,7,9,10,"2,240","1,584","2,896",22.2,15.7,28.7,674,416,932,29.4,18.2,40.6,520,338,702,31.4,20.4,42.4,"31,909","27,280","36,538",,,,,,,,,,,,,,,,,,,
01133,AL,Winston County,6,4,6,4,"4,036","3,252","4,820",17.4,14.0,20.8,"1,056",731,"1,381",22.8,15.8,29.8,743,501,985,21.9,14.7,29.1,"46,453","42,177","50,729",,,,,,,,,,,,,,,,,,,
02000,AK,Alaska,,,,,"68,714","64,952","72,476",9.6,9.1,10.1,"21,459","19,801","23,117",12.3,11.3,13.3,"13,944","12,574","15,314",11.1,10.0,12.2,"79,961","77,531","82,391","6,852","5,955","7,749",14.2,12.3,16.1,,,,,,,,,,,,,
02013,AK,Aleutians East Borough,9,12,9,12,514,360,668,15.1,10.6,19.6,31,20,42,13.2,8.5,17.9,23,15,31,12.9,8.1,17.7,"79,128","66,769","91,487",,,,,,,,,,,,,,,,,,,
02016,AK,Aleutians West Census Area,7,11,9,11,443,317,569,8.1,5.8,10.4,40,25,55,6.0,3.7,8.3,29,17,41,6.0,3.6,8.4,"92,216","79,957","104,475",,,,,,,,,,,,,,,,,,,
02020,AK,Anchorage Borough,2,2,2,2,"23,200","20,100","26,300",8.3,7.2,9.4,"6,026","4,580","7,472",9.0,6.8,11.2,"3,933","2,899","4,967",8.3,6.1,10.5,"84,577","79,491","89,663",,,,,,,,,,,,,,,,,,,
02050,AK,Bethel Census Area,7,11,7,11,"4,567","3,695","5,439",25.3,20.5,30.1,"2,347","1,769","2,925",36.8,27.7,45.9,"1,615","1,193","2,037",36.6,27.0,46.2,"52,214","45,292","59,136",,,,,,,,,,,,,,,,,,,
02060,AK,Bristol Bay Borough,9,12,9,12,82,60,104,10.7,7.8,13.6,18,12,24,11.8,7.6,16.0,12,7,17,11.1,6.6,15.6,"87,032","75,981","98,083",,,,,,,,,,,,,,,,,,,
02063,AK,Chugach Census Area,,,,,441,325,557,7.0,5.2,8.8,99,65,133,7.2,4.7,9.7,68,42,94,6.8,4.2,9.4,"84,063","73,958","94,168",,,,,,,,,,,,,,,,,,,
02066,AK,Copper River Census Area,,,,,368,271,465,12.7,9.3,16.1,120,76,164,16.6,10.6,22.6,77,47,107,13.9,8.4,19.4,"61,215","52,497","69,933",,,,,,,,,,,,,,,,,,,
02068,AK,Denali Borough,8,7,8,7,127,92,162,6.4,4.6,8.2,25,16,34,7.2,4.6,9.8,17,10,24,6.3,3.8,8.8,"80,192","67,624","92,760",,,,,,,,,,,,,,,,,,,
02070,AK,Dillingham Census Area,9,12,9,12,894,658,"1,130",18.7,13.8,23.6,394,247,541,26.5,16.6,36.4,244,141,347,23.2,13.4,33.0,"72,334","65,411","79,257",,,,,,,,,,,,,,,,,,,
02090,AK,Fairbanks North Star Borough,3,2,3,2,"6,565","4,973","8,157",7.2,5.4,9.0,"1,751","1,149","2,353",7.9,5.2,10.6,"1,202",776,"1,628",7.8,5.0,10.6,"76,650","69,899","83,401",,,,,,,,,,,,,,,,,,,
02100,AK,Haines Borough,9,10,9,12,251,180,322,9.6,6.9,12.3,83,53,113,18.4,11.7,25.1,58,35,81,17.2,10.5,23.9,"105,044","99,967","110,121",,,,,,,,,,,,,,,,,,,
02105,AK,Hoonah-Angoon Census Area,,,9,10,271,191,351,12.7,9.0,16.4,89,57,121,23.2,14.8,31.6,62,38,86,21.8,13.4,30.2,"55,593","47,175","64,011",,,,,,,,,,,,,,,,,,,
02110,AK,Juneau Borough,5,8,5,8,"2,510","1,995","3,025",8.1,6.4,9.8,768,628,908,11.9,9.7,14.1,454,347,561,9.5,7.2,11.8,"89,204","80,180","98,228",,,,,,,,,,,,,,,,,,,
02122,AK,Kenai Peninsula Borough,7,11,7,11,"6,171","4,929","7,413",10.6,8.5,12.7,"1,898","1,412","2,384",14.7,10.9,18.5,"1,170",823,"1,517",12.3,8.6,16.0,"68,448","63,523","73,373",,,,,,,,,,,,,,,,,,,
02130,AK,Ketchikan Gateway Borough,7,8,7,8,"1,127",839,"1,415",8.3,6.2,10.4,273,169,377,9.8,6.1,13.5,182,107,257,8.9,5.2,12.6,"76,780","68,405","85,155",,,,,,,,,,,,,,,,,,,
02150,AK,Kodiak Island Borough,7,8,7,11,957,722,"1,192",7.5,5.7,9.3,244,160,328,8.1,5.3,10.9,156,96,216,7.0,4.3,9.7,"72,028","61,290","82,766",,,,,,,,,,,,,,,,,,,
02158,AK,Kusilvak Census Area,9,12,9,12,"2,305","1,720","2,890",27.9,20.8,35.0,"1,449",959,"1,939",42.5,28.1,56.9,966,608,"1,324",41.0,25.8,56.2,"37,566","31,838","43,294",,,,,,,,,,,,,,,,,,,
02164,AK,Lake and Peninsula Borough,9,12,9,12,261,193,329,17.6,13.0,22.2,97,65,129,23.0,15.4,30.6,66,43,89,22.8,14.7,30.9,"54,386","46,725","62,047",,,,,,,,,,,,,,,,,,,
02170,AK,Matanuska-Susitna Borough,2,2,2,2,"9,365","7,768","10,962",8.7,7.2,10.2,"2,677","1,941","3,413",9.5,6.9,12.1,"1,619","1,081","2,157",7.7,5.1,10.3,"89,502","84,166","94,838",,,,,,,,,,,,,,,,,,,
02180,AK,Nome Census Area,7,11,7,11,"1,825","1,420","2,230",18.8,14.6,23.0,765,514,"1,016",23.1,15.5,30.7,499,324,674,20.6,13.4,27.8,"64,309","56,494","72,124",,,,,,,,,,,,,,,,,,,
02185,AK,North Slope Borough,7,11,7,11,"1,025",763,"1,287",11.1,8.3,13.9,353,232,474,14.0,9.2,18.8,227,141,313,12.5,7.8,17.2,"94,759","80,393","109,125",,,,,,,,,,,,,,,,,,,
02188,AK,Northwest Arctic Borough,7,11,7,11,"1,397","1,033","1,761",18.5,13.7,23.3,689,456,922,25.4,16.8,34.0,454,289,619,23.3,14.8,31.8,"65,194","56,346","74,042",,,,,,,,,,,,,,,,,,,
02195,AK,Petersburg Borough,,,9,11,242,180,304,7.4,5.5,9.3,64,42,86,9.4,6.1,12.7,45,28,62,8.7,5.5,11.9,"66,096","56,632","75,560",,,,,,,,,,,,,,,,,,,
02198,AK,Prince of Wales-Hyder Census Area,,,9,10,975,726,"1,224",15.9,11.8,20.0,274,176,372,20.9,13.4,28.4,178,110,246,17.9,11.1,24.7,"53,638","46,419","60,857",,,,,,,,,,,,,,,,,,,
02220,AK,Sitka Borough,7,11,7,11,609,451,767,7.4,5.5,9.3,132,87,177,7.9,5.2,10.6,84,53,115,6.8,4.3,9.3,"79,363","68,877","89,849",,,,,,,,,,,,,,,,,,,
02230,AK,Skagway Municipality,,,9,12,45,33,57,3.8,2.8,4.8,9,6,12,5.0,3.1,6.9,6,3,9,4.6,2.6,6.6,"78,421","67,334","89,508",,,,,,,,,,,,,,,,,,,
02240,AK,Southeast Fairbanks Census Area,8,7,9,12,805,595,"1,015",11.7,8.7,14.7,267,172,362,15.2,9.8,20.6,182,113,251,14.3,8.9,19.7,"64,544","54,631","74,457",,,,,,,,,,,,,,,,,,,
02275,AK,Wrangell City and Borough,,,9,12,264,197,331,10.6,7.9,13.3,61,42,80,13.1,8.9,17.3,37,23,51,10.5,6.6,14.4,"64,643","55,079","74,207",,,,,,,,,,,,,,,,,,,
02282,AK,Yakutat Borough,9,12,9,12,79,57,101,12.4,9.0,15.8,31,19,43,23.8,14.9,32.7,22,13,31,22.9,13.9,31.9,"68,352","58,058","78,646",,,,,,,,,,,,,,,,,,,
02290,AK,Yukon-Koyukuk Census Area,8,7,9,12,"1,029",763,"1,295",20.5,15.2,25.8,385,248,522,27.6,17.8,37.4,257,158,356,25.4,15.6,35.2,"43,060","36,995","49,125",,,,,,,,,,,,,,,,,,,
04000,AZ,Arizona,,,,,"932,555","904,127","960,983",12.8,12.4,13.2,"283,667","269,862","297,472",17.6,16.7,18.5,"197,320","185,245","209,395",16.6,15.6,17.6,"64,652","63,735","65,569","79,944","73,422","86,466",19.4,17.8,21.0,,,,,,,,,,,,,
